MATH_ID,MATH_Name,Units,Prerequisites
MATH 1,Precalculus,[4.0],['successful completion of Mathematics Diagnostic Test']
MATH 3A,Calculus for LS Students,[4.0],['MATH 1']
MATH 3B,Calculus for LS Students,[4.0],['MATH 3A']
MATH 3C,Ordinary Differential Equations with Linear Algebra for Life Science Students,[4.0],['MATH 3B']
MATH 11N,Gateway to Mathematics: Number Theory,[4.0],"['MATH 31A', 'MATH 31B']"
MATH 19,Fiat Lux Freshman Seminars,[1.0],"['MATH 31A', 'MATH 31B']"
MATH 31A,Differential and Integral Calculus,[4.0],['MATH 1']
MATH 31AL,Differential and Integral Calculus Laboratory,[5.0],['MATH 1']
MATH 31B,Integration and Infinite Series,[4.0],['MATH 31A']
MATH 31BH,Integration and Infinite Series (Honors),[4.0],['MATH 31A']
MATH 31E,Calculus for Economics Students,[4.0],['MATH 31A']
MATH 32A,Calculus of Several Variables,[4.0],['MATH 31A']
MATH 32AH,Calculus of Several Variables (Honors),[4.0],['MATH 31A']
MATH 32B,Calculus of Several Variables,[4.0],"['MATH 31B, 'MATH 32A']"
MATH 32BH,Calculus of Several Variables (Honors),[4.0],"['MATH 31B, ''MATH 32A']"
MATH M32T,Essential Calculus for Mathematical Biologists,[4.0],"['LS 30A', 'LS 30B']"
MATH 33A,Linear Algebra and Applications,[4.0],"[['MATH 3B, 'MATH 31B, 'MATH 32A']]"
MATH 33AH,Linear Algebra and Applications (Honors),[4.0],"[['MATH 3B, 'MATH 31B, 'MATH 32A']]"
MATH 33B,Differential Equations,[4.0],['MATH 31B']
MATH 42,"Introduction to Data-Driven Mathematical Modeling: Life, Universe, and Everything",[4.0],"['MATH 31A', 'MATH 31B', 'MATH 32A', 'MATH 32B', 'MATH 33A', ['STATS 10', 'STATS 12', 'STATS 13'], ['COM SCI 31', 'PIC 10A', 'STATS 20']]"
MATH 61,Introduction to Discrete Structures,[4.0],"['MATH 31A', 'MATH 31B']"
MATH 70,Introduction to Probability,[4.0],"['MATH 31A', 'MATH 31B']"
MATH 73XP,Key Issues in K-12 Mathematics,[3.0],"['MATH 31A', 'MATH 31B']"
MATH 74XP,Mathematics and Pedagogy for Teaching Elementary Mathematics,[3.0],"['MATH 31A', 'MATH 31B']"
