Course_ID,Quarters_Offered
PHYSICS 1A,"['Fall', 'Winter', 'Spring']"
PHYSICS 1B,"['Fall', 'Winter', 'Spring']"
PHYSICS 1C,"['Fall', 'Winter', 'Spring']"
PHYSICS 4AL,"['Fall', 'Winter', 'Spring']"
PHYSICS 4BL,"['Fall', 'Winter', 'Spring']"
STATS 100A,"['Fall', 'Winter', 'Spring']"
STATS 100B,"['Fall', 'Winter', 'Spring']"
PIC 10A,"['Fall', 'Winter', 'Spring']"
PIC 10B,"['Fall', 'Winter', 'Spring']"
PIC 10C,"['Fall', 'Winter', 'Spring']"
PIC 16A,"['Fall', 'Winter', 'Spring']"
PIC 16B,"['Fall', 'Winter', 'Spring']"
PIC 20A,"['Fall', 'Winter', 'Spring']"
PIC 40A,"['Fall', 'Winter', 'Spring']"
